2020-07-30 05:58:24 startup archives install
2020-07-30 05:58:24 install base-passwd:amd64 <none> 3.5.44
2020-07-30 05:58:24 status half-installed base-passwd:amd64 3.5.44
2020-07-30 05:58:24 status unpacked base-passwd:amd64 3.5.44
2020-07-30 05:58:24 status unpacked base-passwd:amd64 3.5.44
2020-07-30 05:58:24 configure base-passwd:amd64 3.5.44 3.5.44
2020-07-30 05:58:24 status unpacked base-passwd:amd64 3.5.44
2020-07-30 05:58:24 status half-configured base-passwd:amd64 3.5.44
2020-07-30 05:58:25 status installed base-passwd:amd64 3.5.44
2020-07-30 05:58:25 startup archives install
2020-07-30 05:58:25 install base-files:amd64 <none> 10.1ubuntu2
2020-07-30 05:58:25 status half-installed base-files:amd64 10.1ubuntu2
2020-07-30 05:58:25 status unpacked base-files:amd64 10.1ubuntu2
2020-07-30 05:58:25 status unpacked base-files:amd64 10.1ubuntu2
2020-07-30 05:58:25 configure base-files:amd64 10.1ubuntu2 10.1ubuntu2
2020-07-30 05:58:25 status unpacked base-files:amd64 10.1ubuntu2
2020-07-30 05:58:25 status unpacked base-files:amd64 10.1ubuntu2
2020-07-30 05:58:25 status unpacked base-files:amd64 10.1ubuntu2
2020-07-30 05:58:25 status unpacked base-files:amd64 10.1ubuntu2
2020-07-30 05:58:25 status unpacked base-files:amd64 10.1ubuntu2
2020-07-30 05:58:25 status unpacked base-files:amd64 10.1ubuntu2
2020-07-30 05:58:25 status unpacked base-files:amd64 10.1ubuntu2
2020-07-30 05:58:25 status unpacked base-files:amd64 10.1ubuntu2
2020-07-30 05:58:25 status unpacked base-files:amd64 10.1ubuntu2
2020-07-30 05:58:25 status unpacked base-files:amd64 10.1ubuntu2
2020-07-30 05:58:25 status unpacked base-files:amd64 10.1ubuntu2
2020-07-30 05:58:25 status unpacked base-files:amd64 10.1ubuntu2
2020-07-30 05:58:25 status unpacked base-files:amd64 10.1ubuntu2
2020-07-30 05:58:25 status half-configured base-files:amd64 10.1ubuntu2
2020-07-30 05:58:26 status installed base-files:amd64 10.1ubuntu2
2020-07-30 05:58:26 startup archives install
2020-07-30 05:58:26 upgrade dpkg 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2020-07-30 05:58:26 status half-configured dpkg 1.19.0.5ubuntu2
2020-07-30 05:58:26 status unpacked dpkg 1.19.0.5ubuntu2
2020-07-30 05:58:26 status half-installed dpkg 1.19.0.5ubuntu2
2020-07-30 05:58:27 status half-installed dpkg 1.19.0.5ubuntu2
2020-07-30 05:58:27 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2020-07-30 05:58:27 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2020-07-30 05:58:27 configure dpkg:amd64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2020-07-30 05:58:27 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2020-07-30 05:58:27 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2020-07-30 05:58:27 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2020-07-30 05:58:27 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2020-07-30 05:58:27 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2020-07-30 05:58:27 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2020-07-30 05:58:27 status half-configured dpkg:amd64 1.19.0.5ubuntu2
2020-07-30 05:58:27 status installed dpkg:amd64 1.19.0.5ubuntu2
2020-07-30 05:58:27 startup archives install
2020-07-30 05:58:27 install libc6:amd64 <none> 2.27-3ubuntu1
2020-07-30 05:58:27 status half-installed libc6:amd64 2.27-3ubuntu1
2020-07-30 05:58:43 status unpacked libc6:amd64 2.27-3ubuntu1
2020-07-30 05:58:43 status unpacked libc6:amd64 2.27-3ubuntu1
2020-07-30 05:58:43 configure libc6:amd64 2.27-3ubuntu1 2.27-3ubuntu1
2020-07-30 05:58:43 status unpacked libc6:amd64 2.27-3ubuntu1
2020-07-30 05:58:43 status unpacked libc6:amd64 2.27-3ubuntu1
2020-07-30 05:58:43 status half-configured libc6:amd64 2.27-3ubuntu1
2020-07-30 05:58:43 status installed libc6:amd64 2.27-3ubuntu1
2020-07-30 05:58:43 startup archives install
2020-07-30 05:58:43 install perl-base:amd64 <none> 5.26.1-6
2020-07-30 05:58:43 status half-installed perl-base:amd64 5.26.1-6
2020-07-30 05:58:45 status unpacked perl-base:amd64 5.26.1-6
2020-07-30 05:58:45 status unpacked perl-base:amd64 5.26.1-6
2020-07-30 05:58:45 configure perl-base:amd64 5.26.1-6 5.26.1-6
2020-07-30 05:58:45 status unpacked perl-base:amd64 5.26.1-6
2020-07-30 05:58:45 status half-configured perl-base:amd64 5.26.1-6
2020-07-30 05:58:45 status installed perl-base:amd64 5.26.1-6
2020-07-30 05:58:45 startup archives install
2020-07-30 05:58:45 install mawk:amd64 <none> 1.3.3-17ubuntu3
2020-07-30 05:58:45 status half-installed mawk:amd64 1.3.3-17ubuntu3
2020-07-30 05:58:45 status unpacked mawk:amd64 1.3.3-17ubuntu3
2020-07-30 05:58:45 status unpacked mawk:amd64 1.3.3-17ubuntu3
2020-07-30 05:58:45 configure mawk:amd64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2020-07-30 05:58:45 status unpacked mawk:amd64 1.3.3-17ubuntu3
2020-07-30 05:58:45 status half-configured mawk:amd64 1.3.3-17ubuntu3
2020-07-30 05:58:45 status installed mawk:amd64 1.3.3-17ubuntu3
2020-07-30 05:58:45 startup archives install
2020-07-30 05:58:46 install debconf:all <none> 1.5.66
2020-07-30 05:58:46 status half-installed debconf:all 1.5.66
2020-07-30 05:58:46 status unpacked debconf:all 1.5.66
2020-07-30 05:58:46 status unpacked debconf:all 1.5.66
2020-07-30 05:58:46 configure debconf:all 1.5.66 1.5.66
2020-07-30 05:58:46 status unpacked debconf:all 1.5.66
2020-07-30 05:58:46 status unpacked debconf:all 1.5.66
2020-07-30 05:58:46 status unpacked debconf:all 1.5.66
2020-07-30 05:58:46 status half-configured debconf:all 1.5.66
2020-07-30 05:58:46 status installed debconf:all 1.5.66
2020-07-30 05:58:47 startup archives unpack
2020-07-30 05:58:47 upgrade base-files:amd64 10.1ubuntu2 10.1ubuntu2
2020-07-30 05:58:47 status half-configured base-files:amd64 10.1ubuntu2
2020-07-30 05:58:47 status unpacked base-files:amd64 10.1ubuntu2
2020-07-30 05:58:47 status half-installed base-files:amd64 10.1ubuntu2
2020-07-30 05:58:47 status half-installed base-files:amd64 10.1ubuntu2
2020-07-30 05:58:47 status unpacked base-files:amd64 10.1ubuntu2
2020-07-30 05:58:47 status unpacked base-files:amd64 10.1ubuntu2
2020-07-30 05:58:47 upgrade base-passwd:amd64 3.5.44 3.5.44
2020-07-30 05:58:47 status half-configured base-passwd:amd64 3.5.44
2020-07-30 05:58:47 status unpacked base-passwd:amd64 3.5.44
2020-07-30 05:58:47 status half-installed base-passwd:amd64 3.5.44
2020-07-30 05:58:47 status half-installed base-passwd:amd64 3.5.44
2020-07-30 05:58:47 status unpacked base-passwd:amd64 3.5.44
2020-07-30 05:58:47 status unpacked base-passwd:amd64 3.5.44
2020-07-30 05:58:47 install bash:amd64 <none> 4.4.18-2ubuntu1
2020-07-30 05:58:47 status half-installed bash:amd64 4.4.18-2ubuntu1
2020-07-30 05:58:48 status unpacked bash:amd64 4.4.18-2ubuntu1
2020-07-30 05:58:48 status unpacked bash:amd64 4.4.18-2ubuntu1
2020-07-30 05:58:48 install bsdutils:amd64 <none> 1:2.31.1-0.4ubuntu3
2020-07-30 05:58:48 status half-installed bsdutils:amd64 1:2.31.1-0.4ubuntu3
2020-07-30 05:58:48 status unpacked bsdutils:amd64 1:2.31.1-0.4ubuntu3
2020-07-30 05:58:48 status unpacked bsdutils:amd64 1:2.31.1-0.4ubuntu3
2020-07-30 05:58:48 install coreutils:amd64 <none> 8.28-1ubuntu1
2020-07-30 05:58:48 status half-installed coreutils:amd64 8.28-1ubuntu1
2020-07-30 05:58:49 status unpacked coreutils:amd64 8.28-1ubuntu1
2020-07-30 05:58:49 status unpacked coreutils:amd64 8.28-1ubuntu1
2020-07-30 05:58:49 install dash:amd64 <none> 0.5.8-2.10
2020-07-30 05:58:49 status half-installed dash:amd64 0.5.8-2.10
2020-07-30 05:58:49 status unpacked dash:amd64 0.5.8-2.10
2020-07-30 05:58:49 status unpacked dash:amd64 0.5.8-2.10
2020-07-30 05:58:49 upgrade debconf:all 1.5.66 1.5.66
2020-07-30 05:58:49 status half-configured debconf:all 1.5.66
2020-07-30 05:58:49 status unpacked debconf:all 1.5.66
2020-07-30 05:58:49 status half-installed debconf:all 1.5.66
2020-07-30 05:58:49 status half-installed debconf:all 1.5.66
2020-07-30 05:58:49 status unpacked debconf:all 1.5.66
2020-07-30 05:58:49 status unpacked debconf:all 1.5.66
2020-07-30 05:58:49 install debianutils:amd64 <none> 4.8.4
2020-07-30 05:58:49 status half-installed debianutils:amd64 4.8.4
2020-07-30 05:58:49 status unpacked debianutils:amd64 4.8.4
2020-07-30 05:58:49 status unpacked debianutils:amd64 4.8.4
2020-07-30 05:58:49 install diffutils:amd64 <none> 1:3.6-1
2020-07-30 05:58:49 status half-installed diffutils:amd64 1:3.6-1
2020-07-30 05:58:49 status unpacked diffutils:amd64 1:3.6-1
2020-07-30 05:58:50 status unpacked diffutils:amd64 1:3.6-1
